,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
42,0,2,1,36,0,0,40,0,2,1,1,0,0,1
43,1,1,0,7,1,2,177,0,1,0,0,0,1,0
44,1,2,0,24,0,0,38,1,2,2,0,1,1,1
45,0,2,1,36,0,0,43,2,2,1,1,2,0,1
46,0,2,1,36,1,0,102,1,2,1,1,1,0,0
47,1,2,0,36,0,0,30,1,2,2,0,1,1,1
48,0,2,1,36,2,0,125,0,2,1,1,0,0,0
49,0,2,0,23,1,0,112,2,2,2,0,2,0,0
50,0,2,1,11,4,1,175,2,2,0,0,2,0,0
51,0,2,1,27,0,0,34,2,2,1,1,2,0,1
52,1,0,0,64,1,0,211,0,0,2,0,0,1,0
53,1,1,0,38,1,0,138,2,1,2,0,2,1,0
54,0,0,1,81,0,1,200,0,0,1,1,0,0,0
55,1,0,1,36,0,0,168,2,0,1,1,2,1,1
56,1,1,0,27,0,0,72,2,1,2,0,2,1,1
57,0,2,1,37,0,0,17,0,2,1,1,0,0,1
58,1,1,0,9,1,2,146,2,1,0,0,2,1,0
59,0,2,1,15,5,2,179,2,2,0,0,2,0,0
60,0,2,1,28,0,0,17,0,2,1,1,0,0,1
61,1,0,0,51,0,0,218,2,0,2,0,2,1,1
62,0,0,1,59,1,0,222,2,0,1,1,2,0,0
63,0,2,1,8,3,2,147,2,2,0,0,2,0,0
64,0,0,1,36,0,0,145,0,0,1,1,0,0,1
65,1,2,1,36,1,1,101,0,2,1,1,0,1,0
66,1,1,0,38,0,0,72,2,1,2,0,2,1,1
67,0,2,1,24,0,0,46,2,2,1,1,2,0,1
68,1,2,0,22,4,2,41,2,2,2,0,2,1,0
69,0,2,1,34,2,0,54,2,2,1,1,2,0,0
70,0,1,1,42,0,0,72,2,1,1,1,2,0,1
71,0,2,0,21,5,2,179,2,2,2,0,2,0,0
72,0,1,1,27,0,0,208,2,1,1,1,2,0,1
73,0,2,1,34,1,0,94,0,2,1,1,0,0,0
74,1,2,1,42,0,0,193,2,2,1,1,2,1,1
75,0,2,1,33,0,0,24,2,2,1,1,2,0,1
76,0,2,1,36,0,0,40,2,2,1,1,2,0,1
77,0,2,1,36,0,0,43,2,2,1,1,2,0,1
78,1,1,1,3,0,2,150,2,1,0,0,2,1,0
79,1,2,0,39,0,0,81,2,2,2,0,2,1,1
80,0,2,1,28,0,0,58,2,2,1,1,2,0,1
81,1,2,1,38,0,0,64,2,2,1,1,2,1,1
82,1,2,0,36,0,0,32,1,2,2,0,1,1,1
83,0,0,1,36,0,0,180,2,0,1,1,2,0,1
84,1,1,0,22,0,0,72,2,1,2,0,2,1,1
85,1,2,0,44,3,0,106,2,2,2,0,2,1,0
86,0,2,1,21,1,3,165,2,2,1,1,2,0,0
87,0,2,1,36,0,0,43,2,2,1,1,2,0,1
88,1,0,0,29,3,2,246,2,0,2,0,2,1,0
89,0,2,1,31,0,0,43,2,2,1,1,2,0,1
90,0,2,1,38,0,0,43,2,2,1,1,2,0,1
91,0,2,1,25,0,0,36,2,2,1,1,2,0,1
92,0,0,1,61,1,0,198,2,0,1,1,2,0,0
93,0,2,1,34,1,2,122,2,2,1,1,2,0,0
94,0,2,1,75,0,0,18,2,2,1,1,2,0,1
95,0,2,1,36,0,0,43,2,2,1,1,2,0,1
96,0,0,1,85,0,0,166,0,0,1,1,0,0,1
97,1,0,1,29,0,1,201,0,0,1,1,0,1,0
98,1,1,0,45,0,1,129,2,1,2,0,2,1,0
99,0,1,1,45,1,0,138,2,1,1,1,2,0,0
100,0,2,0,36,0,0,40,2,2,2,0,2,0,1
101,0,2,1,36,0,0,40,2,2,1,1,2,0,1
102,0,0,1,27,0,1,212,2,0,1,1,2,0,0
103,0,2,1,44,0,0,53,2,2,1,1,2,0,1
104,0,2,1,50,2,0,41,2,2,1,1,2,0,0
105,0,2,1,36,0,0,40,2,2,1,1,2,0,1
106,1,2,0,27,0,0,24,2,2,2,0,2,1,1
107,1,2,1,36,0,0,31,2,2,1,1,2,1,1
108,0,2,1,51,0,0,40,2,2,1,1,2,0,1
109,1,2,0,36,1,0,133,1,2,2,0,1,1,0
110,0,0,1,62,0,0,187,2,0,1,1,2,0,1
111,0,2,0,19,1,0,94,0,2,0,0,0,0,0
112,0,2,1,28,0,0,43,2,2,1,1,2,0,1
113,0,2,0,25,1,0,66,2,2,2,0,2,0,0
114,0,2,0,22,0,0,95,0,2,2,0,0,0,1
115,0,2,1,27,0,0,41,2,2,1,1,2,0,1
116,0,2,1,84,0,0,30,1,2,1,1,1,0,1
117,0,1,1,38,1,0,123,2,1,1,1,2,0,0
118,0,0,1,31,0,1,244,0,0,1,1,0,0,0
119,0,2,0,6,4,2,158,2,2,0,0,2,0,0
120,0,1,1,27,2,0,208,2,1,1,1,2,0,0
121,0,2,1,36,0,0,43,2,2,1,1,2,0,1
122,0,1,1,43,1,0,154,0,1,1,1,0,0,0
123,1,1,0,43,0,0,85,2,1,2,0,2,1,1
124,0,0,1,69,0,1,212,2,0,1,1,2,0,0
125,1,2,1,16,1,0,75,0,2,0,0,0,1,0
126,0,2,1,36,0,0,30,1,2,1,1,1,0,1
127,1,2,1,31,0,0,15,2,2,1,1,2,1,1
128,1,2,0,36,1,1,127,0,2,2,0,0,1,0
129,0,2,1,59,0,0,10,2,2,1,1,2,0,1
130,0,2,1,44,0,0,40,0,2,1,1,0,0,1
131,0,2,1,25,0,0,12,2,2,1,1,2,0,1
132,0,2,0,62,1,0,96,2,2,2,0,2,0,0
133,1,1,0,38,1,0,138,2,1,2,0,2,1,0
134,0,1,1,33,0,0,85,2,1,1,1,2,0,1
135,0,1,1,29,0,0,98,0,1,1,1,0,0,1
136,1,0,0,24,0,2,140,2,0,2,0,2,1,0
137,0,0,1,50,1,0,189,2,0,1,1,2,0,0
138,0,2,1,21,0,0,59,2,2,1,1,2,0,1
139,0,0,1,31,0,0,216,0,0,1,1,0,0,1
140,0,2,0,36,0,2,101,0,2,2,0,0,0,0
141,1,2,0,28,0,0,30,2,2,2,0,2,1,1
142,1,2,0,31,1,0,106,2,2,2,0,2,1,0
143,0,2,1,24,0,0,7,1,2,1,1,1,0,1
144,0,1,1,23,0,0,76,2,1,1,1,2,0,1
145,0,1,1,24,1,1,169,2,1,1,1,2,0,0
146,1,2,1,35,0,0,33,2,2,1,1,2,1,1
147,0,2,0,13,2,2,165,2,2,0,0,2,0,0
148,0,1,1,49,0,2,138,2,1,1,1,2,0,0
149,0,1,1,56,0,0,85,2,1,1,1,2,0,1
150,0,1,1,66,0,0,82,2,1,1,1,2,0,1
151,1,0,0,28,1,0,203,2,0,2,0,2,1,0
152,0,2,1,71,0,0,43,2,2,1,1,2,0,1
153,0,2,1,54,0,2,96,2,2,1,1,2,0,0
154,0,2,1,36,0,0,19,2,2,1,1,2,0,1
155,0,0,1,66,0,1,199,0,0,1,1,0,0,0
156,1,2,0,21,0,0,27,1,2,2,0,1,1,1
157,0,2,1,39,0,0,43,2,2,1,1,2,0,1
158,0,2,1,36,0,0,54,2,2,1,1,2,0,1
159,0,2,1,36,6,2,205,2,2,1,1,2,0,0
160,0,2,1,58,0,1,109,2,2,1,1,2,0,0
161,1,1,0,53,0,0,105,2,1,2,0,2,1,1
162,0,2,1,34,0,0,31,2,2,1,1,2,0,1
163,0,2,1,22,0,0,54,2,2,1,1,2,0,1
164,0,2,1,5,4,1,175,2,2,0,0,2,0,0
165,1,2,1,13,0,2,121,2,2,0,0,2,1,0
166,1,0,0,36,0,1,190,2,0,2,0,2,1,0
167,0,2,0,59,1,4,147,2,2,2,0,2,0,0
168,0,0,1,36,0,0,136,2,0,1,1,2,0,1
169,0,2,1,36,0,0,193,2,2,1,1,2,0,1
170,0,0,1,77,0,0,163,2,0,1,1,2,0,1
171,0,2,1,8,4,1,151,1,2,0,0,1,0,0
172,1,2,0,5,1,1,74,2,2,0,0,2,1,0
173,0,2,1,27,0,0,41,2,2,1,1,2,0,1
174,0,0,1,72,0,0,156,0,0,1,1,0,0,1
175,0,2,1,23,1,1,36,2,2,1,1,2,0,0
176,0,2,1,36,3,1,134,2,2,1,1,2,0,0
177,0,0,0,65,0,0,149,0,0,2,0,0,0,1
178,0,1,1,39,0,0,85,2,1,1,1,2,0,1
179,0,2,1,48,0,0,0,2,2,1,1,2,0,1
180,0,2,0,36,6,2,205,2,2,2,0,2,0,0
181,0,1,1,36,0,0,99,0,1,1,1,0,0,1
182,0,2,1,13,4,2,159,2,2,0,0,2,0,0
183,1,1,1,5,2,1,172,2,1,0,0,2,1,0
184,1,2,0,8,0,2,126,2,2,0,0,2,1,0
185,0,0,1,36,0,0,183,2,0,1,1,2,0,1
186,1,2,0,36,1,0,102,1,2,2,0,1,1,0
187,1,0,1,59,0,0,143,2,0,1,1,2,1,1
188,0,2,1,53,1,1,102,1,2,1,1,1,0,0
189,0,2,1,48,0,0,40,2,2,1,1,2,0,1
190,1,1,0,42,0,0,85,2,1,2,0,2,1,1
191,0,1,1,24,0,0,85,2,1,1,1,2,0,1
192,1,2,0,24,1,0,36,2,2,2,0,2,1,0
193,1,1,1,7,1,1,138,2,1,0,0,2,1,0
194,1,0,0,58,0,0,145,0,0,2,0,0,1,1
195,1,0,0,74,0,0,236,0,0,2,0,0,1,1
196,0,2,1,36,0,0,30,1,2,1,1,1,0,1
197,0,2,1,56,0,1,49,2,2,1,1,2,0,0
198,1,2,0,36,0,0,30,1,2,2,0,1,1,1
199,0,1,0,31,0,0,85,2,1,2,0,2,0,1
200,0,2,1,36,0,0,64,2,2,1,1,2,0,1
201,0,2,1,36,6,2,205,2,2,1,1,2,0,0
202,0,2,1,45,0,0,6,2,2,1,1,2,0,1
203,0,2,1,60,0,0,16,0,2,1,1,0,0,1
204,1,2,1,23,0,0,43,2,2,1,1,2,1,1
205,0,2,0,6,0,1,71,2,2,0,0,2,0,0
206,0,2,1,42,1,0,106,2,2,1,1,2,0,0
207,1,2,1,34,0,0,115,0,2,1,1,0,1,1
208,1,2,0,21,0,0,30,1,2,2,0,1,1,1
209,1,0,1,53,0,0,157,0,0,1,1,0,1,1
210,0,2,1,31,0,0,12,2,2,1,1,2,0,1
211,1,1,0,47,0,0,123,2,1,2,0,2,1,1
212,0,2,1,28,0,0,18,2,2,1,1,2,0,1
213,0,1,1,39,0,0,85,2,1,1,1,2,0,1
214,0,2,1,36,1,0,30,1,2,1,1,1,0,0
215,1,0,0,41,1,0,231,0,0,2,0,0,1,0
216,1,2,0,35,0,0,41,2,2,2,0,2,1,1
217,0,1,1,56,1,0,144,2,1,1,1,2,0,0
218,1,0,0,42,0,0,210,0,0,2,0,0,1,1
219,0,1,1,39,0,0,72,2,1,1,1,2,0,1
220,1,2,1,21,0,0,43,2,2,1,1,2,1,1
221,0,1,1,35,0,0,85,2,1,1,1,2,0,1
222,0,2,1,66,0,0,43,2,2,1,1,2,0,1
223,0,2,1,36,0,0,40,2,2,1,1,2,0,1
224,1,0,1,51,1,0,225,2,0,1,1,2,1,0
225,0,2,1,28,0,0,61,2,2,1,1,2,0,1
226,1,1,1,24,0,0,72,2,1,1,1,2,1,1
227,0,2,1,26,0,0,18,2,2,1,1,2,0,1
228,0,1,1,23,0,0,85,2,1,1,1,2,0,1
229,0,2,0,36,3,1,134,2,2,2,0,2,0,0
230,1,0,0,47,1,0,222,2,0,2,0,2,1,0
231,0,2,1,38,0,0,31,2,2,1,1,2,0,1
232,0,1,1,75,0,0,87,2,1,1,1,2,0,1
233,1,2,0,9,4,2,159,2,2,0,0,2,1,0
234,0,1,1,31,0,0,72,2,1,1,1,2,0,1
235,0,2,0,36,0,0,22,2,2,2,0,2,0,1
236,0,1,1,58,1,0,138,2,1,1,1,2,0,0
237,1,1,0,12,0,2,139,2,1,0,0,2,1,0
238,0,1,1,24,0,0,72,2,1,1,1,2,0,1
239,0,1,1,44,0,0,78,2,1,1,1,2,0,1
240,0,2,0,36,1,0,94,0,2,2,0,0,0,0
241,1,2,0,36,1,0,102,1,2,2,0,1,1,0
242,0,1,1,38,0,0,72,2,1,1,1,2,0,1
243,0,2,1,28,0,0,14,2,2,1,1,2,0,1
244,0,2,1,39,0,0,16,0,2,1,1,0,0,1
245,0,0,1,58,2,0,225,1,0,1,1,1,0,0
246,0,2,0,33,0,0,31,2,2,2,0,2,0,1
247,1,1,0,31,0,2,96,2,1,2,0,2,1,0
248,1,0,1,50,1,1,188,2,0,1,1,2,1,0
249,0,1,1,69,1,0,138,2,1,1,1,2,0,0
250,0,2,1,36,0,0,18,2,2,1,1,2,0,1
251,0,2,0,38,1,1,71,2,2,2,0,2,0,0
252,0,0,1,78,0,0,143,2,0,1,1,2,0,1
253,0,2,1,39,1,0,109,2,2,1,1,2,0,0
254,0,2,0,55,0,2,119,2,2,2,0,2,0,0
255,1,2,0,38,0,2,101,0,2,2,0,0,1,0
256,1,0,0,36,0,0,216,0,0,2,0,0,1,1
257,1,0,0,39,0,0,223,2,0,2,0,2,1,1
258,1,0,0,47,0,0,247,0,0,2,0,0,1,1
259,1,1,0,65,0,1,138,2,1,2,0,2,1,0
260,0,2,1,36,0,0,30,1,2,1,1,1,0,1
261,1,2,1,7,4,2,159,2,2,0,0,2,1,0
262,0,0,1,67,1,1,217,2,0,1,1,2,0,0
263,0,0,1,53,0,0,0,2,0,1,1,2,0,1
264,0,2,0,36,0,0,30,1,2,2,0,1,0,1
265,0,1,1,48,0,0,72,2,1,1,1,2,0,1
266,0,2,1,21,4,1,175,2,2,1,1,2,0,0
267,1,2,1,33,1,0,31,2,2,1,1,2,1,0
268,1,0,0,74,0,1,238,2,0,2,0,2,1,0
269,1,0,0,47,0,0,235,2,0,2,0,2,1,1
270,0,0,1,36,0,0,157,2,0,1,1,2,0,1
271,1,2,1,33,0,0,0,2,2,1,1,2,1,1
272,1,1,0,55,0,1,117,2,1,2,0,2,1,0
273,0,0,1,50,0,1,152,0,0,1,1,0,0,0
274,1,2,0,36,0,0,30,1,2,2,0,1,1,1
275,1,0,0,79,1,0,213,2,0,2,0,2,1,0
276,0,2,0,59,0,0,30,2,2,2,0,2,0,1
277,0,1,1,36,0,0,0,2,1,1,1,2,0,1
278,0,2,1,11,4,1,151,1,2,0,0,1,0,0
279,1,2,0,47,1,1,120,2,2,2,0,2,1,0
280,0,2,1,81,0,0,30,1,2,1,1,1,0,1
281,0,2,1,36,0,0,36,2,2,1,1,2,0,1
282,0,2,1,21,0,0,64,2,2,1,1,2,0,1
283,1,2,1,24,0,0,43,2,2,1,1,2,1,1
284,0,0,1,36,0,0,138,2,0,1,1,2,0,1
285,0,2,1,44,0,0,54,0,2,1,1,0,0,1
286,1,2,1,39,0,0,64,2,2,1,1,2,1,1
287,0,2,1,28,0,0,40,2,2,1,1,2,0,1
288,1,1,1,56,0,0,85,2,1,1,1,2,1,1
289,1,2,0,28,0,0,30,1,2,2,0,1,1,1
290,1,0,0,34,0,0,215,2,0,2,0,2,1,1
291,1,0,0,24,1,0,226,0,0,2,0,0,1,0
292,0,1,1,48,0,0,84,0,1,1,1,0,0,1
293,0,2,0,31,0,0,57,2,2,2,0,2,0,1
294,0,2,1,31,0,0,40,2,2,1,1,2,0,1
295,0,0,1,36,0,0,145,0,0,1,1,0,0,1
296,0,2,1,30,0,0,17,0,2,1,1,0,0,1
297,0,0,0,6,1,2,237,2,0,0,0,2,0,0
298,1,0,1,36,0,0,155,2,0,1,1,2,1,1
299,1,0,0,65,0,1,244,0,0,2,0,0,1,0
300,1,2,0,36,0,0,30,1,2,2,0,1,1,1
301,1,2,1,36,2,0,130,1,2,1,1,1,1,0
302,0,2,1,24,0,0,0,2,2,1,1,2,0,1
303,1,1,0,36,0,0,80,1,1,2,0,1,1,1
304,0,2,1,36,0,0,43,2,2,1,1,2,0,1
305,1,0,1,4,1,2,237,2,0,0,0,2,1,0
306,1,0,0,36,0,0,230,0,0,2,0,0,1,1
307,1,0,0,22,1,0,229,0,0,2,0,0,1,0
308,0,1,1,39,1,0,132,0,1,1,1,0,0,0
309,1,0,0,39,0,0,194,0,0,2,0,0,1,1
310,1,0,0,31,0,0,221,0,0,2,0,0,1,1
311,1,0,0,23,2,2,245,0,0,2,0,0,1,0
312,0,1,0,34,1,1,138,2,1,2,0,2,0,0
313,0,2,1,36,0,0,40,2,2,1,1,2,0,1
314,0,1,1,57,1,1,139,2,1,1,1,2,0,0
315,1,2,0,34,0,0,36,2,2,2,0,2,1,1
316,1,1,0,31,1,0,138,2,1,2,0,2,1,0
317,0,1,1,69,0,0,91,2,1,1,1,2,0,1
318,1,0,0,41,0,2,239,2,0,2,0,2,1,0
319,1,0,0,53,1,1,234,0,0,2,0,0,1,0
320,0,2,1,28,0,0,18,2,2,1,1,2,0,1
321,0,2,1,35,0,0,40,2,2,1,1,2,0,1
322,1,1,0,39,0,0,80,1,1,2,0,1,1,1
323,1,1,0,28,1,1,150,2,1,2,0,2,1,0
324,0,2,1,36,6,2,205,2,2,1,1,2,0,0
325,1,0,0,48,0,0,235,0,0,2,0,0,1,1
326,0,2,1,77,0,0,3,2,2,1,1,2,0,1
327,1,1,0,48,0,0,85,2,1,2,0,2,1,1
328,1,2,0,41,1,1,121,2,2,2,0,2,1,0
329,1,0,0,21,0,1,196,0,0,2,0,0,1,0
330,1,2,0,36,2,0,130,1,2,2,0,1,1,0
331,0,0,1,60,0,0,148,2,0,1,1,2,0,1
332,0,0,1,51,0,1,238,2,0,1,1,2,0,0
333,0,2,1,21,2,0,113,2,2,1,1,2,0,0
334,1,0,0,36,1,0,233,2,0,2,0,2,1,0
335,0,2,1,36,0,0,40,2,2,1,1,2,0,1
336,0,0,1,38,1,0,203,2,0,1,1,2,0,0
337,1,0,0,55,0,0,234,0,0,2,0,0,1,1
338,1,2,1,59,0,0,43,2,2,1,1,2,1,1
339,0,0,1,59,0,0,168,2,0,1,1,2,0,1
340,1,1,1,6,1,1,138,2,1,0,0,2,1,0
341,1,0,0,31,3,2,246,2,0,2,0,2,1,0
342,0,1,1,36,0,0,85,2,1,1,1,2,0,1
343,0,1,1,33,0,0,85,2,1,1,1,2,0,1
344,0,1,1,48,0,0,85,2,1,1,1,2,0,1
345,1,1,0,31,0,0,85,2,1,2,0,2,1,1
346,1,1,0,53,0,0,85,2,1,2,0,2,1,1
347,1,2,0,36,1,0,109,2,2,2,0,2,1,0
348,1,2,1,7,1,1,107,2,2,0,0,2,1,0
349,0,2,1,56,0,0,54,2,2,1,1,2,0,1
350,0,2,1,29,0,0,60,2,2,1,1,2,0,1
351,0,0,1,36,0,0,167,2,0,1,1,2,0,1
352,0,2,1,20,1,1,17,0,2,0,0,0,0,0
353,0,2,1,33,1,0,112,2,2,1,1,2,0,0
354,0,2,1,36,0,0,16,0,2,1,1,0,0,1
355,0,2,1,36,0,0,64,2,2,1,1,2,0,1
356,1,0,0,28,0,1,190,2,0,2,0,2,1,0
357,0,1,0,51,0,0,85,2,1,2,0,2,0,1
358,1,2,0,36,0,0,38,1,2,2,0,1,1,1
359,1,2,0,36,0,0,38,1,2,2,0,1,1,1
360,0,2,1,53,1,4,147,2,2,1,1,2,0,0
361,0,1,1,38,1,0,145,0,1,1,1,0,0,0
362,0,2,0,59,0,1,94,0,2,2,0,0,0,0
363,0,2,1,47,0,0,12,2,2,1,1,2,0,1
364,0,2,1,36,1,0,102,1,2,1,1,1,0,0
365,0,2,1,39,0,0,18,2,2,1,1,2,0,1
366,1,0,0,76,1,0,209,0,0,2,0,0,1,0
367,1,2,0,36,0,0,17,0,2,2,0,0,1,1
368,1,2,0,36,0,0,30,1,2,2,0,1,1,1
369,1,0,0,31,0,0,204,0,0,2,0,0,1,1
370,1,0,1,33,1,0,191,0,0,1,1,0,1,0
371,0,2,1,23,1,0,6,2,2,1,1,2,0,0
372,0,2,1,24,0,0,43,2,2,1,1,2,0,1
373,0,0,1,28,0,0,235,0,0,1,1,0,0,1
374,0,2,0,7,3,1,124,2,2,0,0,2,0,0
375,1,0,0,36,1,0,220,0,0,2,0,0,1,0
376,1,2,0,28,0,0,18,2,2,2,0,2,1,1
377,0,0,1,35,0,2,241,0,0,1,1,0,0,0
378,0,2,1,25,0,0,1,0,2,1,1,0,0,1
379,0,2,1,24,0,0,31,2,2,1,1,2,0,1
380,1,0,0,56,0,0,243,0,0,2,0,0,1,1
381,1,2,0,5,0,2,104,0,2,0,0,0,1,0
382,0,2,1,42,0,0,41,2,2,1,1,2,0,1
383,1,0,0,47,1,0,187,2,0,2,0,2,1,0
384,0,2,1,36,0,0,40,2,2,1,1,2,0,1
385,0,1,1,23,0,0,208,2,1,1,1,2,0,1
386,0,2,1,5,5,2,179,2,2,0,0,2,0,0
387,1,1,0,48,0,0,85,2,1,2,0,2,1,1
388,0,2,1,36,0,0,26,1,2,1,1,1,0,1
389,1,1,0,22,0,0,77,0,1,2,0,0,1,1
390,1,0,1,48,1,2,232,2,0,1,1,2,1,0
391,1,2,1,27,0,0,33,2,2,1,1,2,1,1
392,0,2,1,36,2,0,41,2,2,1,1,2,0,0
393,1,0,0,29,1,0,231,0,0,2,0,0,1,0
394,1,2,0,31,0,2,110,2,2,2,0,2,1,0
395,0,2,1,28,0,0,33,2,2,1,1,2,0,1
396,0,2,0,41,0,0,36,2,2,2,0,2,0,1
397,0,1,1,61,0,0,138,2,1,1,1,2,0,1
398,0,1,1,29,0,0,72,2,1,1,1,2,0,1
399,1,1,0,36,0,0,83,2,1,2,0,2,1,1
400,1,2,1,52,0,0,41,2,2,1,1,2,1,1
401,0,2,1,34,0,0,43,2,2,1,1,2,0,1
402,0,2,0,27,1,0,66,2,2,2,0,2,0,0
403,0,2,1,36,1,0,106,2,2,1,1,2,0,0
404,0,2,0,25,0,0,54,2,2,2,0,2,0,1
405,0,1,1,45,1,0,123,2,1,1,1,2,0,0
406,0,2,1,66,0,0,30,2,2,1,1,2,0,1
407,1,1,1,7,1,1,114,2,1,0,0,2,1,0
408,0,2,1,27,0,0,31,2,2,1,1,2,0,1
409,0,2,0,36,3,1,134,2,2,2,0,2,0,0
410,0,2,1,36,0,0,40,2,2,1,1,2,0,1
411,0,2,1,36,0,0,8,1,2,1,1,1,0,1
412,1,0,0,44,1,0,225,1,0,2,0,1,1,0
413,0,1,1,36,0,0,0,2,1,1,1,2,0,1
414,1,2,1,58,0,0,41,2,2,1,1,2,1,1
415,0,2,0,36,0,0,43,2,2,2,0,2,0,1
416,1,1,0,45,1,1,161,2,1,2,0,2,1,0
417,1,1,0,23,0,2,85,2,1,2,0,2,1,0
418,0,1,1,39,0,0,85,2,1,1,1,2,0,1
419,0,2,0,14,0,2,133,2,2,0,0,2,0,0
420,0,2,1,36,0,0,40,0,2,1,1,0,0,1
421,0,2,1,27,0,0,27,1,2,1,1,1,0,1
422,0,2,1,38,0,0,37,2,2,1,1,2,0,1
423,0,2,0,36,1,1,93,2,2,2,0,2,0,0
424,0,2,1,23,1,1,119,2,2,1,1,2,0,0
425,0,2,1,36,0,0,18,2,2,1,1,2,0,1
426,1,1,0,36,1,0,138,2,1,2,0,2,1,0
427,1,1,0,24,0,0,138,2,1,2,0,2,1,1
428,0,2,1,36,0,0,30,1,2,1,1,1,0,1
429,1,2,1,42,0,0,43,2,2,1,1,2,1,1
430,1,0,1,36,0,0,143,2,0,1,1,2,1,1
431,1,2,0,36,1,0,109,2,2,2,0,2,1,0
432,1,1,0,56,1,0,138,2,1,2,0,2,1,0
433,0,2,1,22,0,0,14,2,2,1,1,2,0,1
434,0,0,1,65,1,0,192,2,0,1,1,2,0,0
435,1,0,0,18,1,2,232,2,0,0,0,2,1,0
436,0,2,0,27,2,2,165,2,2,2,0,2,0,0
437,1,1,0,31,2,3,114,2,1,2,0,2,1,0
438,0,0,1,80,1,4,246,2,0,1,1,2,0,0
439,0,1,1,41,0,0,72,2,1,1,1,2,0,1
440,1,1,0,59,1,1,139,2,1,2,0,2,1,0
441,0,2,1,25,0,0,64,2,2,1,1,2,0,1
442,0,2,1,33,1,0,31,2,2,1,1,2,0,0
443,1,1,0,36,0,0,85,2,1,2,0,2,1,1
444,1,2,1,36,0,0,44,2,2,1,1,2,1,1
445,1,0,1,8,0,2,219,2,0,0,0,2,1,0
446,1,1,0,17,0,1,117,2,1,0,0,2,1,0
447,1,0,1,45,0,0,143,2,0,1,1,2,1,1
448,1,2,0,9,2,1,116,0,2,0,0,0,1,0
449,1,0,1,67,0,0,155,2,0,1,1,2,1,1
450,0,1,1,48,1,2,146,2,1,1,1,2,0,0
451,0,2,1,36,1,0,118,2,2,1,1,2,0,0
452,0,0,1,39,0,0,146,0,0,1,1,0,0,1
453,1,0,1,64,1,0,224,0,0,1,1,0,1,0
454,0,2,1,36,0,0,43,2,2,1,1,2,0,1
455,1,2,1,38,0,0,40,0,2,1,1,0,1,1
456,0,0,1,81,0,0,143,2,0,1,1,2,0,1
457,1,0,0,36,1,0,186,2,0,2,0,2,1,0
458,1,1,0,65,0,0,72,2,1,2,0,2,1,1
459,0,2,1,36,0,0,30,1,2,1,1,1,0,1
460,1,0,1,63,0,0,143,2,0,1,1,2,1,1
461,0,2,1,45,0,0,43,2,2,1,1,2,0,1
462,0,0,1,62,0,0,171,2,0,1,1,2,0,1
